Date,Open,High,Low,Close,Adj Close,Volume
"Jul 15, 2021",153.90,156.53,153.70,155.46,142.07,"11,539,300"
"Jul 14, 2021",155.95,157.28,152.95,155.12,141.76,"14,622,800"
"Jul 13, 2021",156.05,157.39,153.50,155.65,142.25,"22,671,700"
"Jul 12, 2021",154.35,159.16,153.94,158.00,144.39,"19,940,400"
"Jul 9, 2021",153.05,156.15,152.58,155.77,142.36,"13,694,500"
"Jul 8, 2021",151.61,152.53,150.04,150.94,137.94,"17,834,600"
"Jul 7, 2021",152.01,154.28,151.55,153.59,140.36,"12,271,800"
"Jul 6, 2021",155.78,155.78,152.35,153.41,140.20,"15,083,400"
"Jul 2, 2021",155.95,156.32,155.12,156.03,142.59,"11,424,000"
"Jul 1, 2021",156.26,157.14,155.42,157.08,142.73,"10,479,400"
"Jun 30, 2021",153.75,156.08,153.71,155.54,141.33,"12,531,000"
"Jun 29, 2021",155.00,156.31,153.61,154.14,140.06,"14,528,700"
"Jun 28, 2021",153.70,154.48,152.12,154.33,140.23,"14,125,800"
"Jun 25, 2021",152.59,154.50,151.67,154.05,139.98,"15,484,900"
"Jun 24, 2021",151.92,153.12,151.22,152.51,138.58,"13,733,200"
"Jun 23, 2021",150.20,152.04,150.09,151.12,137.31,"12,733,300"
"Jun 22, 2021",150.60,150.97,148.66,150.21,136.49,"14,251,200"
"Jun 21, 2021",149.08,151.20,149.02,150.43,136.69,"18,664,800"
"Jun 18, 2021",149.30,149.70,147.56,147.92,134.41,"43,595,700"
"Jun 17, 2021",157.10,157.46,151.25,151.76,137.90,"29,722,400"
"Jun 16, 2021",154.73,157.62,153.11,156.27,141.99,"25,321,200"
"Jun 15, 2021",156.70,156.92,154.13,155.18,141.00,"24,485,500"
"Jun 14, 2021",160.15,160.33,156.66,157.57,143.18,"19,917,900"
"Jun 11, 2021",160.43,161.20,159.06,160.29,145.65,"13,683,800"
"Jun 10, 2021",164.36,165.24,160.31,160.40,145.75,"12,119,400"
"Jun 9, 2021",164.14,164.22,162.28,162.94,148.05,"12,377,400"
"Jun 8, 2021",164.49,165.76,163.16,165.00,149.93,"10,370,700"
"Jun 7, 2021",167.00,167.10,165.14,165.66,150.53,"7,267,200"
"Jun 4, 2021",166.21,166.67,165.03,166.44,151.23,"8,510,800"
"Jun 3, 2021",165.41,167.25,164.66,166.17,150.99,"13,354,400"
"Jun 2, 2021",167.26,167.44,165.53,166.06,150.89,"10,498,600"
